Estadisticas de interfaz		,recibidos,enviados
Paquetes de unidifusion            ,2693660,1277725
Paquetes de unidifusion            ,2726990,1293440
Paquetes de unidifusion            ,2737465,1296005
Paquetes de unidifusion            ,2740495,1297850
Paquetes de unidifusion            ,3392535,2579755
Paquetes de unidifusion            ,4309780,4298040
Paquetes de unidifusion            ,5138579,5951997
Paquetes de unidifusion            ,6069045,7705875
Paquetes de unidifusion            ,7098135,9539080
Paquetes de unidifusion            ,7817467,10918370
Paquetes de unidifusion            ,8442450,12143615
Paquetes de unidifusion            ,9127015,13416690
Paquetes de unidifusion           ,10017155,15142445
Paquetes de unidifusion           ,10928950,16944030
Paquetes de unidifusion           ,11762135,18592740
Paquetes de unidifusion           ,12644520,20343170
Paquetes de unidifusion           ,13523430,22088100
Paquetes de unidifusion           ,14436200,23902895
Paquetes de unidifusion           ,15267980,25554045
Paquetes de unidifusion           ,15438189,25884005
Paquetes de unidifusion           ,15592545,26128495
Paquetes de unidifusion           ,15593405,26129120
Paquetes de unidifusion           ,15594240,26129795
Paquetes de unidifusion           ,15602695,26132000
Paquetes de unidifusion           ,15605035,26133080
Paquetes de unidifusion           ,15614760,26139020
Paquetes de unidifusion           ,15627005,26144245
Paquetes de unidifusion           ,15664290,26150385
Paquetes de unidifusion           ,15668095,26151495
Paquetes de unidifusion           ,15670885,26152535
Paquetes de unidifusion           ,15673720,26153485
Paquetes de unidifusion           ,15678265,26154680
Paquetes de unidifusion           ,15688295,26161295
Paquetes de unidifusion           ,15704150,26171885
Paquetes de unidifusion           ,15717135,26179805
Paquetes de unidifusion           ,15724525,26184950
Paquetes de unidifusion           ,15726080,26185815
Paquetes de unidifusion           ,15727695,26186885
Paquetes de unidifusion           ,15894000,26220955
Paquetes de unidifusion           ,15951895,26234220
Paquetes de unidifusion           ,15953135,26235405
Paquetes de unidifusion           ,15959430,26240600
Paquetes de unidifusion           ,15965710,26245050
Paquetes de unidifusion           ,15985265,26258665
Paquetes de unidifusion           ,16009145,26264740
Paquetes de unidifusion           ,16088400,26277615
Paquetes de unidifusion           ,16248860,26308090
Paquetes de unidifusion           ,16252315,26309335
Paquetes de unidifusion           ,16260440,26312635
Paquetes de unidifusion           ,16293110,26326085
Paquetes de unidifusion           ,16309215,26331230
Paquetes de unidifusion           ,16318970,26333440
Paquetes de unidifusion           ,16322425,26335555
Paquetes de unidifusion           ,16324850,26336425
Paquetes de unidifusion           ,16328110,26337220
Paquetes de unidifusion           ,16330820,26338150
Paquetes de unidifusion           ,16338900,26340055
Paquetes de unidifusion           ,16343925,26341890
Paquetes de unidifusion           ,16352095,26345357
Paquetes de unidifusion           ,16359245,26349770
Paquetes de unidifusion           ,16365380,26353455
Paquetes de unidifusion           ,16397430,26372165
Paquetes de unidifusion           ,16405705,26375475
Paquetes de unidifusion           ,16415495,26381085
Paquetes de unidifusion           ,16419510,26384710
Paquetes de unidifusion           ,16507790,26445505
Paquetes de unidifusion           ,16524945,26450780
Paquetes de unidifusion           ,16533660,26453740
Paquetes de unidifusion           ,16534800,26454610
Paquetes de unidifusion           ,16535045,26454840
Paquetes de unidifusion           ,16537545,26455645
Paquetes de unidifusion           ,16543365,26460650
Paquetes de unidifusion           ,16548535,26462520
Paquetes de unidifusion           ,16556395,26466565
Paquetes de unidifusion           ,16560545,26467430
Paquetes de unidifusion           ,16578050,26476100
Paquetes de unidifusion           ,16584245,26478510
Paquetes de unidifusion           ,16598305,26482275
Paquetes de unidifusion           ,16614830,26486250
Paquetes de unidifusion           ,16627635,26491865
Paquetes de unidifusion           ,16637175,26493825
Paquetes de unidifusion           ,16662270,26504655
Paquetes de unidifusion           ,16670900,26507980
Paquetes de unidifusion           ,16676705,26511500
Paquetes de unidifusion           ,16709895,26527590
Paquetes de unidifusion           ,16727605,26532580
Paquetes de unidifusion           ,16735355,26533915
Paquetes de unidifusion           ,16743980,26535415
Paquetes de unidifusion           ,16752460,26537915
Paquetes de unidifusion           ,16775440,26546680
Paquetes de unidifusion           ,16787555,26551565
Paquetes de unidifusion           ,16797905,26555860
