Estadisticas de interfaz;Recibidos;Enviados;Diff_Recibidos;Diff_Enviados
Paquetes de unidifusion           ;16817020;26563665;0;0
Paquetes de unidifusion           ;16817470;26564135;450;470
Paquetes de unidifusion           ;16817820;26564520;350;385
Paquetes de unidifusion           ;16818225;26564865;405;345
Paquetes de unidifusion           ;16818375;26565020;150;155
Paquetes de unidifusion           ;16818635;26565260;260;240
Paquetes de unidifusion           ;16819070;26565630;435;370
Paquetes de unidifusion           ;16819555;26566040;485;410
Paquetes de unidifusion           ;16819745;26566215;190;175
Paquetes de unidifusion           ;16819915;26566370;170;155
Paquetes de unidifusion           ;16820155;26566580;240;210
Paquetes de unidifusion           ;16820645;26567015;490;435
Paquetes de unidifusion           ;16820925;26567295;280;280
Paquetes de unidifusion           ;16821160;26567500;235;205
Paquetes de unidifusion           ;16821285;26567650;125;150
Paquetes de unidifusion           ;16821580;26567910;295;260
Paquetes de unidifusion           ;16821875;26568210;295;300
Paquetes de unidifusion           ;16822170;26568470;295;260
Paquetes de unidifusion           ;16822430;26568720;260;250
Paquetes de unidifusion           ;16822705;26568965;275;245
Paquetes de unidifusion           ;16822895;26569165;190;200
Paquetes de unidifusion           ;16823095;26569350;200;185
Paquetes de unidifusion           ;16823310;26569600;215;250
Paquetes de unidifusion           ;16825065;26577440;1755;7840
Paquetes de unidifusion           ;16825300;26577700;235;260
Paquetes de unidifusion           ;16825630;26578000;330;300
Paquetes de unidifusion           ;16825765;26578135;135;135
Paquetes de unidifusion           ;16825965;26578300;200;165
Paquetes de unidifusion           ;16826120;26578460;155;160
Paquetes de unidifusion           ;16826345;26578690;225;230
Paquetes de unidifusion           ;16826595;26578910;250;220
Paquetes de unidifusion           ;16826790;26579120;195;210
Paquetes de unidifusion           ;16826960;26579265;170;145
Paquetes de unidifusion           ;16827100;26579395;140;130
Paquetes de unidifusion           ;16827220;26579530;120;135
Paquetes de unidifusion           ;16827380;26579675;160;145
Paquetes de unidifusion           ;16827660;26579960;280;285
Paquetes de unidifusion           ;16827730;26580040;70;80
Paquetes de unidifusion           ;16827880;26580170;150;130
Paquetes de unidifusion           ;16828070;26580355;190;185
Paquetes de unidifusion           ;16828195;26580490;125;135
Paquetes de unidifusion           ;16828420;26580705;225;215
Paquetes de unidifusion           ;16828705;26580985;285;280
Paquetes de unidifusion           ;16828945;26581220;240;235
Paquetes de unidifusion           ;16829040;26581300;95;80
Paquetes de unidifusion           ;16829120;26581385;80;85
Paquetes de unidifusion           ;16829760;26585320;640;3935
Paquetes de unidifusion           ;16830000;26585545;240;225
Paquetes de unidifusion           ;16830305;26585835;305;290
Paquetes de unidifusion           ;16830360;26585915;55;80
Paquetes de unidifusion           ;16830515;26586055;155;140
Paquetes de unidifusion           ;16830630;26586165;115;110
Paquetes de unidifusion           ;16830700;26586260;70;95
Paquetes de unidifusion           ;16830775;26586335;75;75
Paquetes de unidifusion           ;16831000;26586540;225;205
Paquetes de unidifusion           ;16831140;26586690;140;150
Paquetes de unidifusion           ;16831255;26586790;115;100
Paquetes de unidifusion           ;16831510;26587000;255;210
Paquetes de unidifusion           ;16831830;26587295;320;295
Paquetes de unidifusion           ;16832120;26587545;290;250
Paquetes de unidifusion           ;16832455;26587845;335;300
Paquetes de unidifusion           ;16832535;26587915;80;70
Paquetes de unidifusion           ;16832670;26588055;135;140
Paquetes de unidifusion           ;16832725;26588100;55;45
Paquetes de unidifusion           ;16832820;26588210;95;110
Paquetes de unidifusion           ;16833010;26588370;190;160
Paquetes de unidifusion           ;16833250;26588630;240;260
Paquetes de unidifusion           ;16833375;26588765;125;135
Paquetes de unidifusion           ;16833525;26588890;150;125
Paquetes de unidifusion           ;16833625;26588985;100;95
Paquetes de unidifusion           ;16833750;26589105;125;120
Paquetes de unidifusion           ;16833925;26589275;175;170
Paquetes de unidifusion           ;16834090;26589440;165;165
Paquetes de unidifusion           ;16834260;26589615;170;175
Paquetes de unidifusion           ;16834691;26590030;431;415
Paquetes de unidifusion           ;16834915;26590230;224;200
Paquetes de unidifusion           ;16835120;26590420;205;190
Paquetes de unidifusion           ;16835340;26590630;220;210
Paquetes de unidifusion           ;16835590;26590855;250;225
Paquetes de unidifusion           ;16836050;26591335;460;480
Paquetes de unidifusion           ;16836360;26591630;310;295
Paquetes de unidifusion           ;16836400;26591690;40;60
Paquetes de unidifusion           ;16836575;26591850;175;160
Paquetes de unidifusion           ;16836695;26591980;120;130
Paquetes de unidifusion           ;16836905;26592170;210;190
Paquetes de unidifusion           ;16836960;26592240;55;70
Paquetes de unidifusion           ;16837235;26592505;275;265
Paquetes de unidifusion           ;16837385;26592640;150;135
Paquetes de unidifusion           ;16837470;26592735;85;95
Paquetes de unidifusion           ;16837625;26592890;155;155
Paquetes de unidifusion           ;16837905;26593135;280;245
